Name,Colors,Year,Genre,Style,Link
Mills in the Neighbourhood of Dordrecht,"('Black Olive', 'Burlywood', 'Navajo White', 'Lemon Chiffon', 'Granite Gray')",1877,sketch and study,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/mills-in-the-neighbourhood-of-dordrecht-1877.jpg!Large.jpg
The Cave of Machpelah,"('Burlywood', 'Mellow Apricot', 'Persian Orange', 'Sienna', 'Bulgarian Rose')",1877,sketch and study,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/the-cave-of-machpelah-1877.jpg!Large.jpg
“Au Charbonnage” Café,"('Lemon Meringue', 'Wheat', 'Burlywood', 'Camel', 'Smoky Black')",1878,cityscape,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/au-charbonnage-café-1878(1).jpg!Large.jpg
A house Magros,"('Ivory', 'Black Shadows', 'Snow', 'Gray', 'Gray')",1879,cityscape,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/a-house-magros-1879(1).jpg!Large.jpg
A Zandmennik house,"('Silver Pink', 'Seashell', 'Grullo', 'Gray', 'Gray')",1879,cityscape,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/a-zandmennik-house(1).jpg!Large.jpg
Coal Shoveler,"('Gray', 'Ivory', 'Gray', 'Snow', 'Gray')",1879,genre painting,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/coal-shoveler-1879(1).jpg!Large.jpg
Coalmine in the Borinage,"('Old Gold', 'Bronze', 'Burlywood', 'Sepia', 'Dark Sienna')",1879,cityscape,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/coalmine-in-the-borinage-1879(1).jpg!Large.jpg
Miners,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1880,genre painting,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/miners-1880.jpg!Large.jpg
Miners in the Snow at Dawn,"('Navajo White', 'Wheat', 'Sage', 'Gray', 'Bisque')",1880,sketch and study,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/miners-in-the-snow-at-dawn-1880.jpg!Large.jpg
The Angelus (after Millet),"('Beaver', 'Bistre', 'Coffee', 'Tuscany', 'Seashell')",1880,genre painting,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/the-angelus-after-millet-1880.jpg!Large.jpg
A Digger,"('Khaki', 'French Bistre', 'Burlywood', 'Old Burgundy', 'Camel')",1881,genre painting,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/a-digger-1881(1).jpg!Large.jpg
A Girl Raking,"('Gray', 'Wheat', 'Tan', 'Peach Puff', 'Gray')",1881,genre painting,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/a-girl-raking-1881(1).jpg!Large.jpg
A Man with a Broom,"('Gray', 'Russet', 'Bisque', 'Cornsilk', 'Antique White')",1881,genre painting,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/a-man-with-a-broom-1881(1).jpg!Large.jpg
A Marsh,"('Gray', 'Lemon Chiffon', 'Eggshell', 'Peach Puff', 'French Bistre')",1881,landscape,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/a-marsh-1881(1).jpg!Large.jpg
An Old Man Putting Dry Rice on the Hearth,"('Taupe', 'Coffee', 'Middle Yellow', 'Persian Orange', 'French Beige')",1881,genre painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/an-old-man-putting-dry-rice-on-the-hearth-1881(1).jpg!Large.jpg
Barn with Moss-Covered Roof,"('Black Olive', 'Light Goldenrod', 'Camel', 'Wheat', 'Antique White')",1881,landscape,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/barn-with-moss-covered-roof-1881(1).jpg!Large.jpg
Boy Cutting Grass with a Sickle,"('Lavender Blue', 'Citron', 'Khaki', 'Metallic Sunburst', 'Seal Brown')",1881,genre painting,Post-Impressionism,https://uploads0.wikiart.org/images/vincent-van-gogh/boy-cutting-grass-with-a-sickle-1881(1).jpg!Large.jpg
Daughter of Jacob Meyer,"('Gray', 'Ebony', 'Wheat', 'Sage', 'Light Yellow')",1881,portrait,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/daughter-of-jacob-meyer-1881(1).jpg!Large.jpg
Digger,"('Isabelline', 'Gray', 'Gray', 'Gray', 'Old Burgundy')",1881,genre painting,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/digger-1881(1).jpg!Large.jpg
Digger,"('Burlywood', 'Beaver', 'Bisque', 'Rifle Green', 'Gray')",1881,genre painting,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/digger-1881-1(1).jpg!Large.jpg
Digger,"('Cornsilk', 'Burlywood', 'Antique White', 'Caput Mortuum', 'Tuscany')",1881,genre painting,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/digger-1881-2(1).jpg!Large.jpg
Farmer Leaning on his Spade,"('Ivory', 'Gray', 'Gray', 'Gray', 'Bistre')",1881,genre painting,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/farmer-leaning-on-his-spade-1881(1).jpg!Large.jpg
Farmer sitting at the fireside and reading,"('Dark Jungle', 'Ebony', 'Wheat', 'Sage', 'Ivory')",1881,genre painting,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/farmer-sitting-at-the-fireside-and-reading-1881(1).jpg!Large.jpg
Field in a Thunderstorm,"('Bistre', 'Wheat', 'Grullo', 'Bisque', 'Gray')",1881,sketch and study,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/field-in-a-thunderstorm-1881(1).jpg!Large.jpg
Field with Thunderstorm,"('Gray', 'Black Olive', 'Gray', 'Ivory', 'Gray')",1881,sketch and study,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/field-with-thunderstorm-1881(1).jpg!Large.jpg
French Peasant Woman Suckling Her Baby after Dalou,"('Mellow Apricot', 'Sandy Brown', 'Tan', 'Tan', 'Caput Mortuum')",1881,genre painting,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/french-peasant-woman-suckling-her-baby-after-dalou(1).jpg!Large.jpg
Girl Kneeling,"('Isabelline', 'Gray', 'Gray', 'Old Burgundy', 'Gray')",1881,genre painting,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/girl-kneeling-1881(1).jpg!Large.jpg
Girl Kneeling in Front of a Bucket,"('Black Shadows', 'Ivory', 'Antique White', 'Bistre', 'Smoky Black')",1881,genre painting,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/girl-kneeling-in-front-of-a-bucket-1881(1).jpg!Large.jpg
Girl with Black Cap Sitting on the Ground,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1881,genre painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/girl-with-black-cap-sitting-on-the-ground-1881(1).jpg!Large.jpg
"Kneeling Man, Planting","('Old Burgundy', 'Seashell', 'Misty Rose', 'Seashell', 'Gray')",1881,genre painting,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/kneeling-man-planting-1881.jpg!Large.jpg
Landscape with Trees,"('Cornsilk', 'Bronze', 'Copper', 'Sepia', 'Bulgarian Rose')",1881,landscape,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/landscape-with-trees-1881.jpg!Large.jpg
Landscape with Windmill,"('Black Olive', 'Gray', 'Gray', 'Gray', 'Gray')",1881,landscape,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/landscape-with-windmill-1881.jpg!Large.jpg
Man Putting Potatoes in a Sack,"('Burlywood', 'Light French', 'Dutch White', 'Gray', 'Smoky Black')",1881,sketch and study,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/man-putting-potatoes-in-a-sack-1881.jpg!Large.jpg
Man with a Sack of Wood,"('Mellow Apricot', 'Earth Yellow', 'Coffee', 'Metallic Sunburst', 'Smoky Black')",1881,sketch and study,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/man-with-a-sack-of-wood-1881.jpg!Large.jpg
Man with Saw,"('Eggshell', 'Old Burgundy', 'Seashell', 'Gray', 'Bisque')",1881,sketch and study,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/man-with-saw-1881.jpg!Large.jpg
Man with Winnow,"('Old Burgundy', 'Gray', 'Silver Pink', 'Seashell', 'Grullo')",1881,genre painting,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/man-with-winnow-1881.jpg!Large.jpg
Man Writing Facing Left,"('French Bistre', 'Grullo', 'Cornsilk', 'Antique White', 'Bistre')",1881,sketch and study,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/man-writing-facing-left-1881.jpg!Large.jpg
Marsh with Water Lillies,"('Wheat', 'Dark Brown', 'French Beige', 'Burlywood', 'Smoky Black')",1881,sketch and study,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/marsh-with-water-lillies-1881.jpg!Large.jpg
Miners Women Carrying Sacks (The Bearers of the Burden),"('Gray', 'Bisque', 'Cornsilk', 'Eggshell', 'Gray')",1881,genre painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/miners-women-carrying-sacks-the-bearers-of-the-burden-1881.jpg!Large.jpg
Mother at the Cradle and Child Sitting on the Floor,"('Lemon Chiffon', 'Light Goldenrod', 'French Bistre', 'Light French', 'Lemon Chiffon')",1881,genre painting,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/mother-at-the-cradle-and-child-sitting-on-the-floor-1881.jpg!Large.jpg
Near the Hearth,"('Wheat', 'Beaver', 'Tan', 'French Bistre', 'Gray')",1881,genre painting,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/near-the-hearth-1881.jpg!Large.jpg
Old Man Warming Himself,"('French Bistre', 'Grullo', 'Peach Puff', 'Antique White', 'Bistre')",1881,genre painting,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/old-man-warming-himself-1881.jpg!Large.jpg
Peasant Girl Standing,"('Dutch White', 'Caput Mortuum', 'Coffee', 'Beaver', 'Bisque')",1881,portrait,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/peasant-girl-standing-1881.jpg!Large.jpg
Peasant Sitting by the Fireplace (Worn Out),"('Old Burgundy', 'Gray', 'Gray', 'Gray', 'Snow')",1881,sketch and study,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/peasant-sitting-by-the-fireplace-worn-out-1881.jpg!Large.jpg
Peasant Sitting by the Fireplace (Worn Out),"('Rifle Green', 'Earth Yellow', 'Wheat', 'Smoky Black', 'Fawn')",1881,genre painting,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/peasant-sitting-by-the-fireplace-worn-out-1881-1.jpg!Large.jpg
Peasant with a Chopping Knife,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1881,sketch and study,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/peasant-with-a-chopping-knife-1881.jpg!Large.jpg
Peasant with a Stick,"('Ivory', 'Timberwolf', 'Antique White', 'Bistre', 'Gray')",1881,sketch and study,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/peasant-with-a-stick-1881.jpg!Large.jpg
Peasant Woman Sowing with a Basket,"('Vegas Gold', 'Light French', 'Metallic Sunburst', 'Coffee', 'Bistre')",1881,genre painting,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/peasant-woman-sowing-with-a-basket-1881.jpg!Large.jpg
Pollard Willow,"('Antique White', 'Antique White', 'Dark Sienna', 'Caput Mortuum', 'Beaver')",1881,landscape,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/pollard-willow-1881.jpg!Large.jpg
"Portrait of Vincent van Gogh, the Artist s Grandfather","('Lemon Meringue', 'Tan', 'Burlywood', 'Taupe', 'Gray')",1881,portrait,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/portrait-of-vincent-van-gogh-the-artist-s-grandfather-1881.jpg!Large.jpg
Portrait possibly of Willemien van Gogh,"('Seashell', 'Misty Rose', 'Old Burgundy', 'Gray', 'Gray')",1881,portrait,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/portrait-possibly-of-willemien-van-gogh-1881.jpg!Large.jpg
Reaper with Sickle (after Millet),"('Tan', 'Earth Yellow', 'Light Salmon', 'Sepia', 'Caput Mortuum')",1881,sketch and study,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/reaper-with-sickle-after-millet-1881.jpg!Large.jpg
Road with Pollard Willows,"('Gray', 'Rifle Green', 'Wheat', 'Lemon Chiffon', 'Dutch White')",1881,sketch and study,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/road-with-pollard-willows-1881.jpg!Large.jpg
Road with Pollard Willows,"('Black Olive', 'Lemon Chiffon', 'Grullo', 'Cornsilk', 'Dim Gray')",1881,sketch and study,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/road-with-pollard-willows-1881-1.jpg!Large.jpg
Road with Pollard Willows,"('Wheat', 'Gray', 'Van Dyke', 'Beaver', 'Bisque')",1881,sketch and study,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/road-with-pollard-willows-1881-2.jpg!Large.jpg
Road with Pollard Willows and Man with Broom,"('Gray', 'Ivory', 'Gray', 'Snow', 'Gray')",1881,sketch and study,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/road-with-pollard-willows-and-man-with-broom-1881.jpg!Large.jpg
Scheveningen Woman,"('Arylide Yellow', 'Mellow Apricot', 'Middle Yellow', 'Sienna', 'Van Dyke')",1881,genre painting,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/scheveningen-woman-1881.jpg!Large.jpg
Scheveningen Woman Knitting,"('Sky Blue', 'Sky Blue', 'Gray', 'Light Yellow', 'Silver Pink')",1881,genre painting,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/scheveningen-woman-knitting-1881.jpg!Large.jpg
Scheveningen Woman Sewing,"('Gray', 'Gray', 'Lemon Chiffon', 'Grullo', 'Lemon Chiffon')",1881,sketch and study,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/scheveningen-woman-sewing-2-1881.jpg!Large.jpg
Scheveningen Woman Standing,"('Antique White', 'Bistre', 'Bisque', 'Silver Pink', 'Gray')",1881,sketch and study,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/scheveningen-woman-standing-1881.jpg!Large.jpg
Sculpture and Still Life with Cabbage and Clogs,"('Cornsilk', 'Antique White', 'Gray', 'Granite Gray', 'Bistre')",1881,sketch and study,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/sculpture-and-still-life-with-cabbage-and-clogs-1881.jpg!Large.jpg
Small House on a Road with Pollard Willows,"('Antique White', 'Burlywood', 'Beaver', 'Antique White', 'Van Dyke')",1881,sketch and study,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/small-house-on-a-road-with-pollard-willows-1881.jpg!Large.jpg
Sower,"('Ivory', 'Black Shadows', 'Old Burgundy', 'Granite Gray', 'Gray')",1881,sketch and study,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/sower-1881.jpg!Large.jpg
Sower,"('Timberwolf', 'Black Shadows', 'Gray', 'Antique White', 'Smoky Black')",1881,genre painting,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/sower-1881-1.jpg!Large.jpg
Sower,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1881,sketch and study,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/sower-1881-2.jpg!Large.jpg
Sower (after Millet),"('Navajo White', 'Burlywood', 'French Beige', 'French Bistre', 'Van Dyke')",1881,genre painting,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/sower-after-millet-1881.jpg!Large.jpg
Sower with Basket,"('Gray', 'Black Olive', 'Gray', 'Gray', 'Timberwolf')",1881,sketch and study,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/sower-with-basket-1881.jpg!Large.jpg
Sower with Hand in Sack,"('Ebony', 'Misty Moss', 'Burlywood', 'French Beige', 'Lemon Chiffon')",1881,sketch and study,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/sower-with-hand-in-sack-1881.jpg!Large.jpg
Sower with Hand in Sack,"('Gray', 'Gray', 'Gray', 'Granite Gray', 'Isabelline')",1881,sketch and study,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/sower-with-hand-in-sack-1881-1.jpg!Large.jpg
Still Life with Beer Mug and Fruit,"('Gray', 'Tan', 'Sienna', 'Bistre', 'Firebrick')",1881,still life,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/still-life-with-beer-mug-and-fruit-1881.jpg!Large.jpg
Still Life with Cabbage and Clogs,"('Black Olive', 'Light Goldenrod', 'French Beige', 'French Bistre', 'Coffee')",1881,still life,Realism,https://uploads8.wikiart.org/images/vincent-van-gogh/still-life-with-cabbage-and-clogs-1881.jpg!Large.jpg
The Garden of the Parsonage with Arbor,"('Gray', 'Cornsilk', 'Eggshell', 'Grullo', 'Gray')",1881,landscape,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/the-garden-of-the-parsonage-with-arbor-1881.jpg!Large.jpg
Unfinished Sketch of an Interior with a Pan above the Fire,"('Antique White', 'Antique White', 'Burlywood', 'Tuscany', 'Dark Sienna')",1881,sketch and study,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/unfinished-sketch-of-an-interior-with-a-pan-above-the-fire-1881.jpg!Large.jpg
Windmils at Dordrecht,"('Burlywood', 'Burlywood', 'French Bistre', 'Camel', 'Taupe')",1881,landscape,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/windmils-at-dordrecht-1881.jpg!Large.jpg
Woman Churning Butter,"('Gray', 'Isabelline', 'Gray', 'Gray', 'Old Burgundy')",1881,genre painting,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/woman-churning-butter-1881.jpg!Large.jpg
Woman Grinding Coffee,"('Camel', 'Copper', 'Smoky Black', 'Sepia', 'Tumbleweed')",1881,genre painting,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/woman-grinding-coffee-1881.jpg!Large.jpg
Woman Mending Stockings,"('Wheat', 'Light Salmon', 'Coffee', 'Fuzzy Wuzzy', 'Gray')",1881,genre painting,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/woman-mending-stockings-1881.jpg!Large.jpg
Woman Peeling Potatoes near a Window,"('Gray', 'Misty Rose', 'Silver Pink', 'Seashell', 'Old Burgundy')",1881,sketch and study,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/woman-peeling-potatoes-near-a-window-1881.jpg!Large.jpg
Woman Peeling Potatoes near a Window,"('Gray', 'Gray', 'Isabelline', 'Gray', 'Rocket Metallic')",1881,genre painting,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/woman-peeling-potatoes-near-a-window-2-1881.jpg!Large.jpg
Woman Sewing,"('Gray', 'Gray', 'Lavender Blush', 'Gray', 'Gray')",1881,sketch and study,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/woman-sewing-1881.jpg!Large.jpg
Woman Sewing,"('Gray', 'Burlywood', 'Antique White', 'Gray', 'Copper Red')",1881,genre painting,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/woman-sewing-1881-1.jpg!Large.jpg
Woman Sitting at the Fireside,"('Snow', 'Gray', 'Gray', 'Gray', 'Gray')",1881,genre painting,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/woman-sitting-at-the-fireside-1881.jpg!Large.jpg
Woman Sitting on a Basket with Head in Hands,"('Black Olive', 'Grullo', 'French Bistre', 'Ebony', 'Sage')",1881,genre painting,Realism,https://uploads5.wikiart.org/images/vincent-van-gogh/woman-sitting-on-a-basket-with-head-in-hands.jpg!Large.jpg
Young woman knitting,"('Slate Blue', 'Deep Space', 'French Beige', 'Coffee', 'Bistre')",1881,genre painting,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/young-woman-knitting-1881.jpg!Large.jpg
Young Woman Sewing,"('Eggplant', 'Ivory', 'Old Burgundy', 'Gray', 'Rocket Metallic')",1881,genre painting,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/young-woman-sewing-1881.jpg!Large.jpg
Donkey and Cart,"('Mellow Apricot', 'Middle Yellow', 'Dark Brown', 'Metallic Sunburst', 'Smoky Black')",1881,genre painting,Post-Impressionism,https://uploads6.wikiart.org/images/vincent-van-gogh/donkey-and-cart(1).jpg!Large.jpg
Route,"('Lemon Meringue', 'Navajo White', 'Beaver', 'Gray', 'French Bistre')",1881,sketch and study,Post-Impressionism,https://uploads2.wikiart.org/images/vincent-van-gogh/route.jpg!Large.jpg
"Woman near a Window twice, Man with Winnow, Sower, and Woman with Broom","('Navajo White', 'Navajo White', 'Old Burgundy', 'Wheat', 'Bisque')",1881,sketch and study,Post-Impressionism,https://uploads2.wikiart.org/images/vincent-van-gogh/woman-near-a-window-twice-man-with-winnow-sower-and-woman-with-broom.jpg!Large.jpg
The Bridge,"('Gray', 'Gray', 'Snow', 'Snow', 'Gray')",1882,sketch and study,Post-Impressionism,https://uploads7.wikiart.org/images/vincent-van-gogh/the-bridge.jpg!Large.jpg
A Carpenter with Apron,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1882,portrait,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/a-carpenter-with-apron-1882(1).jpg!Large.jpg
A Girl in a Wood,"('Kombu Green', 'Lemon Chiffon', 'Gray', 'Grullo', 'Dutch White')",1882,sketch and study,Realism,https://uploads3.wikiart.org/images/vincent-van-gogh/a-girl-in-a-wood-1882(1).jpg!Large.jpg
"A Girl in the Street, Two Coaches in the Background","('Khaki', 'Indian Yellow', 'Dark Brown', 'Metallic Sunburst', 'Smoky Black')",1882,genre painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/a-girl-in-the-street-two-coaches-in-the-background-1882(1).jpg!Large.jpg
An Almshouse Man in a Top Hat,"('Dark Jungle', 'French Bistre', 'Burlywood', 'Wheat', 'Camel')",1882,portrait,Realism,https://uploads7.wikiart.org/images/vincent-van-gogh/an-almshouse-man-in-a-top-hat-1882(1).jpg!Large.jpg
Baby,"('Light Goldenrod', 'Navajo White', 'Tan', 'Tan', 'Caput Mortuum')",1882,portrait,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/baby(1).jpg!Large.jpg
Baby in a Carriage,"('Gray', 'Ebony', 'Ivory', 'Timberwolf', 'Gray')",1882,sketch and study,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/baby-in-a-carriage(1).jpg!Large.jpg
Beach and Boats,"('Black Olive', 'French Bistre', 'Grullo', 'Cornsilk', 'Antique White')",1882,sketch and study,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/beach-and-boats-1882(1).jpg!Large.jpg
Beach and Sea,"('Bistre', 'Old Burgundy', 'Wheat', 'Lemon Chiffon', 'Cornsilk')",1882,sketch and study,Realism,https://uploads0.wikiart.org/images/vincent-van-gogh/beach-and-sea-1882(1).jpg!Large.jpg
Beach at Scheveningen in Calm Weather,"('Gray', 'Buff', 'Dark Khaki', 'Redwood', 'Sienna')",1882,landscape,Realism,https://uploads6.wikiart.org/images/vincent-van-gogh/beach-at-scheveningen-in-calm-weather-1882(1).jpg!Large.jpg
Beach with People Walking and Boats,"('Light Yellow', 'Camel', 'Burlywood', 'Gray', 'French Beige')",1882,genre painting,Realism,https://uploads4.wikiart.org/images/vincent-van-gogh/beach-with-people-walking-and-boats-1882(1).jpg!Large.jpg
Bench in a Wood,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1882,landscape,Realism,https://uploads2.wikiart.org/images/vincent-van-gogh/bench-in-a-wood-1882(1).jpg!Large.jpg
Bench with Four Persons,"('Antique White', 'Antique White', 'Van Dyke', 'Tuscan Red', 'Beaver')",1882,sketch and study,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/bench-with-four-persons-1882(1).jpg!Large.jpg
Bench with Four Persons and Baby,"('Gray', 'Gray', 'Gray', 'Gray', 'Gray')",1882,genre painting,Realism,https://uploads1.wikiart.org/images/vincent-van-gogh/bench-with-four-persons-and-baby-1882(1).jpg!Large.jpg
